20172TIJG0230;Ana Clara;ana.clara@gmail.com;
20172TIJG0231;Bruno Dias;bruno.dias@gmail.com;
20172TIJG0232;Carlos Pereira;carlos.pereira@gmail.com;
20172TIJG0233;Eleonel Silva;eleonel.silva@gmail.com;
20172TIJG0234;Fernanda Pessoa Dantas;fernanda@gmail.com;
20172TIJG0235;Gabriel Pires;gabriel.pires@gmail.com;
20172TIJG0236;Gloria Dantas;gloria.dantas@gmail.com;
20172TIJG0237;Lucas Liz Ferro;lucas.liz@gmail.com;
20172TIJG0238;Paula Meira;paula.meira@gmail.com;
20172TIJG0239;Renato Gabriel;renato.gabriel@gmail.com;
20172TIJG0240;Zilda Paula;zilda.paula@gmail.com;
